,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_a,-3.896,0.06,-4.007,-3.782,0.001,0.0,13465.0,12104.0,1.0
a[0],-16.459,0.15,-16.721,-16.165,0.005,0.003,973.0,2004.0,1.01
a[1],-16.748,0.15,-17.016,-16.461,0.005,0.003,931.0,2029.0,1.01
a[2],-15.906,0.15,-16.186,-15.633,0.005,0.003,956.0,2129.0,1.01
a[3],-14.462,0.15,-14.737,-14.184,0.005,0.003,944.0,2015.0,1.01
a[4],-14.98,0.15,-15.253,-14.695,0.005,0.003,957.0,1873.0,1.01
a[5],-12.43,0.15,-12.701,-12.146,0.005,0.003,958.0,1999.0,1.01
a[6],-15.543,0.15,-15.817,-15.255,0.005,0.003,954.0,2082.0,1.01
a[7],-12.637,0.149,-12.912,-12.359,0.005,0.003,954.0,2029.0,1.01
a[8],-17.793,0.15,-18.079,-17.521,0.005,0.003,966.0,1961.0,1.01
a[9],-12.742,0.15,-13.014,-12.453,0.005,0.003,939.0,1710.0,1.01
a[10],-17.341,0.15,-17.623,-17.068,0.005,0.003,943.0,2002.0,1.01
a[11],-16.102,0.149,-16.369,-15.817,0.005,0.003,949.0,2334.0,1.01
a[12],-13.166,0.15,-13.441,-12.884,0.005,0.003,962.0,2055.0,1.01
b_age[0],1.184,0.15,0.905,1.461,0.005,0.003,998.0,2227.0,1.01
b_age[1],0.178,0.149,-0.102,0.455,0.005,0.003,978.0,2092.0,1.01
b_age[2],0.099,0.149,-0.184,0.367,0.005,0.003,985.0,2175.0,1.01
b_age[3],0.078,0.15,-0.207,0.35,0.005,0.003,984.0,2135.0,1.01
b_age[4],0.073,0.149,-0.213,0.341,0.005,0.003,982.0,2049.0,1.01
b_age[5],0.118,0.149,-0.168,0.383,0.005,0.003,1003.0,2216.0,1.01
b_age[6],0.079,0.149,-0.204,0.35,0.005,0.003,995.0,2048.0,1.01
b_age[7],-0.007,0.149,-0.276,0.28,0.005,0.003,999.0,2142.0,1.01
b_age[8],-0.148,0.15,-0.436,0.12,0.005,0.003,984.0,2184.0,1.01
b_age[9],-0.155,0.15,-0.439,0.115,0.005,0.003,994.0,2082.0,1.01
b_age[10],-0.125,0.15,-0.415,0.148,0.005,0.003,985.0,1802.0,1.01
b_age[11],-0.139,0.15,-0.42,0.132,0.005,0.003,989.0,2352.0,1.01
b_age[12],-0.176,0.149,-0.447,0.111,0.005,0.003,975.0,2216.0,1.01
b_age[13],-0.607,0.15,-0.903,-0.347,0.005,0.003,986.0,2121.0,1.01
b_age[14],-1.591,0.15,-1.873,-1.312,0.005,0.003,977.0,2101.0,1.01
b_sex,1.315,0.042,1.234,1.392,0.0,0.0,11000.0,11390.0,1.0
sigma_a,11.556,2.375,7.661,15.896,0.022,0.017,13221.0,10317.0,1.0
eps,0.411,0.015,0.383,0.44,0.0,0.0,12424.0,11553.0,1.0
